Symbol
ABNB
UPS
NTAP
DXCM
HCA
ON
TAP
IQV
PNW
DGX
IR
URI
PRU
WMB
LHX
TPR
OKE
AME
APH
WY
ARE
MRVL
MAS
POOL
ALLE
ULTA
PCG
TPL
PLD
EQIX
TRV
DELL
VMC
CL
KIM
SYF
KKR
GOOG
ROST
WELL
MTCH
JNPR
VTRS
NVDA
DVA
REGN
BKR
FI
WMT
EW
MCD
WDAY
VRSK
KEY
CNC
SNA
HOLX
EIX
ALGN
LII
MS
CLX
EBAY
DUK
BKNG
SBAC
ENPH
GEV
AZN
CVX
TJX
FANG
ADSK
CBOE
AMAT
AES
GEN
CVS
ETR
RF
PEP
ATO
AON
PANW
MTD
MSCI
EMR
TKO
WDC
IDXX
HPQ
DECK
ZTS
FAST
UNH
ACN
HAL
WST
LOW
TTD
GLW
BMY
DTE
NKE
WYNN
FFIV
IP
MDB
NCLH
DOC
MMC
SCHW
EXE
MOH
WTW
CARR
OMC
PNC
BA
K
HBAN
XYL
ZS
AFL
KHC
INCY
ZBRA
KMI
STZ
CPB
CMS
TMUS
TRGP
DE
MELI
WRB
RTX
GPC
D
CRWD
UNP
ORLY
BRK.B
MU
MLM
HUBB
F
VLTO
MPWR
NOC
BX
TXT
SPGI
UDR
SPG
ALL
BIIB
DHI
UHS
DPZ
TYL
DOW
WBD
MRNA
PDD
BLK
PODD
STT
CRL
CMI
COR
RJF
APO
GNRC
BXP
GE
BRO
PGR
VLO
ADBE
MCHP
SJM
NFLX
JPM
NWSA
AWK
HES
YUM
CCEP
MSFT
BSX
UAL
GEHC
AVY
COP
CAH
KMX
INVH
EOG
WFC
CMG
AMCR
IRM
LLY
SO
FDS
IBM
PNR
CNP
PPL
SOLV
DVN
ODFL
IFF
PWR
DD
HST
CPAY
REG
TDG
MA
NSC
AOS
HPE
EL
BAX
LW
GRMN
AJG
FCX
DHR
BDX
WSM
ERIE
ABT
PKG
VTR
CHRW
HIG
DG
TT
HON
C
SYK
HLT
CPRT
AXON
ADM
FOXA
PAYX
FE
MTB
SWK
SRE
DRI
MMM
CDNS
MHK
CI
GWW
ACGL
WEC
TXN
TFC
CZR
ISRG
ICE
INTC
MKTX
AVGO
JCI
FTNT
NRG
DFS
WBA
DLTR
EVRG
PEG
BK
PTC
VRTX
A
NDSN
CFG
NOW
ELV
FTV
CPT
ASML
DDOG
KO
TDY
AKAM
AMD
CAG
LKQ
QCOM
RSG
LUV
AMT
CDW
AMZN
CTRA
GDDY
MNST
MAA
BR
FIS
LYB
NDAQ
TEL
TSLA
GIS
LYV
PYPL
LH
HII
CTVA
RVTY
DOV
JKHY
MRK
ROK
HAS
MDT
GFS
ADP
DAL
XEL
ZBH
EQR
PFG
CBRE
ADI
FITB
NEE
TRMB
EPAM
MET
USB
FOX
O
HUM
STE
CSCO
GILD
AAPL
BALL
HSY
VZ
SWKS
SHW
PSA
GM
GL
BBY
DLR
SLB
MAR
ORCL
RL
MSTR
ESS
TEAM
BLDR
KMB
RCL
L
PSX
GOOGL
AEE
CAT
IPG
ANSS
MO
EMN
VRSN
FRT
NEM
FDX
MSI
SYY
LNT
CSX
ALB
CTAS
DASH
EA
KLAC
DIS
LIN
CMCSA
AVB
NTRS
CHTR
XOM
CF
SNPS
EG
APD
PFE
JNJ
LVS
EXPD
KVUE
AMGN
AZO
TER
GD
IT
STX
PH
BF.B
UBER
CSGP
NUE
HD
EXR
OXY
TTWO
CRM
V
ES
LDOS
PAYC
PLTR
LEN
AXP
INTU
KR
COO
PCAR
APP
IVZ
AMP
MCK
NI
AIG
ETN
FSLR
IEX
MDLZ
SW
WM
WAB
BG
SMCI
COST
CTSH
CB
LULU
CCL
TECH
MCO
CINF
ECL
MKC
ANET
LRCX
RMD
COF
EQT
MOS
ROL
ED
ABBV
MGM
AEP
APA
HSIC
TROW
KDP
T
EXPE
EFX
CHD
FICO
EXC
OTIS
GPN
J
CME
HRL
PARA
BEN
NVR
PG
PHM
LMT
APTV
MPC
TSN
PPG
SBUX
GS
BAC
CCI
TSCO
ITW
META
JBL
JBHT
CEG
KEYS
VST
WAT
HWM
STLD
TGT
NXPI
TMO
AIZ
ARM
NWS
PM
DAY
VICI
ROP
